step,epoch,epoch_step,loss,learn_rate
500,124,3,0.0035949,1e-05
1000,249,3,0.0635570,1e-05
1500,374,3,0.0313409,1e-05
2000,499,3,0.5039186,1e-05
2500,624,3,0.0048861,1e-05
3000,749,3,0.1041601,1e-05
3500,874,3,0.3368606,1e-05
4000,999,3,0.0923439,1e-05
5000,1249,3,0.0208388,1e-05
5500,1374,3,0.0049679,1e-05
6000,1499,3,0.1952502,1e-05
6500,1624,3,0.0252715,1e-05
7000,1749,3,0.3428162,1e-05
7500,1874,3,0.0079513,1e-05
8000,1999,3,0.0079452,1e-05
8500,2124,3,0.0201460,1e-05
9000,2249,3,0.1365663,1e-05
9500,2374,3,0.1515446,1e-05
10000,2499,3,0.3693152,1e-05
10500,2624,3,0.0528131,1e-05
11000,2749,3,0.0181520,1e-05
11500,2874,3,0.0049436,1e-05
12000,2999,3,0.0189165,1e-05
12500,3124,3,0.0297912,1e-05
13000,3249,3,0.0215876,1e-05
13500,3374,3,0.0044149,1e-05
14000,3499,3,0.0018679,1e-05
14500,3624,3,0.0054312,1e-05
15000,3749,3,0.0053429,1e-05
15500,3874,3,0.0017051,1e-05
16000,3999,3,0.0021550,1e-05
16500,4124,3,0.0014463,1e-05
17000,4249,3,0.1668026,1e-05
17500,4374,3,0.0934467,1e-05
18000,4499,3,0.0066361,1e-05
18500,4624,3,0.0611647,1e-05
19000,4749,3,0.0015148,1e-05
19500,4874,3,0.0464818,1e-05
20000,4999,3,0.0058462,1e-05
20500,5124,3,0.0047143,1e-05
21000,5249,3,0.0023236,1e-05
21500,5374,3,0.0361839,1e-05
22000,5499,3,0.0017336,1e-05
22500,5624,3,0.0103303,1e-05
23000,5749,3,0.0041234,1e-05
23500,5874,3,0.0104847,1e-05
24000,5999,3,0.0018715,1e-05
24500,6124,3,0.0272037,1e-05
25000,6249,3,0.0031227,1e-05
25500,6374,3,0.0010917,1e-05
26000,6499,3,0.0011804,1e-05
26500,6624,3,0.0297855,1e-05
27000,6749,3,0.0012966,1e-05
27500,6874,3,0.0071912,1e-05
28000,6999,3,0.0043208,1e-05
28500,7124,3,0.0462520,1e-05
29000,7249,3,0.0142355,1e-05
29500,7374,3,0.0011344,1e-05
30000,7499,3,0.0026277,1e-05
30500,7624,3,0.0063298,1e-05
31000,7749,3,0.0090587,1e-05
31500,7874,3,0.0046905,1e-05
32000,7999,3,0.0190448,1e-05
32500,8124,3,0.0143437,1e-05
33000,8249,3,0.0164331,1e-05
33500,8374,3,0.0049141,1e-05
34000,8499,3,0.0202031,1e-05
34500,8624,3,0.0062120,1e-05
35000,8749,3,0.0040048,1e-05
35500,8874,3,0.0010360,1e-05
36000,8999,3,0.0012614,1e-05
36500,9124,3,0.0067437,1e-05
37000,9249,3,0.0037592,1e-05
37500,9374,3,0.0141943,1e-05
38000,9499,3,0.0016509,1e-05
38500,9624,3,0.0058410,1e-05
39000,9749,3,0.0079066,1e-05
39500,9874,3,0.0008418,1e-05
40000,9999,3,0.0073177,1e-05
40500,10124,3,0.0045396,1e-05
41000,10249,3,0.0056455,1e-05
41500,10374,3,0.0023308,1e-05
42000,10499,3,0.0007875,1e-05
42500,10624,3,0.0245502,1e-05
43000,10749,3,0.0010503,1e-05
43500,10874,3,0.0016570,1e-05
44000,10999,3,0.0719720,1e-05
44500,11124,3,0.0107298,1e-05
45000,11249,3,0.0024513,1e-05
45500,11374,3,0.0087320,1e-05
46000,11499,3,0.0076289,1e-05
46500,11624,3,0.0155146,1e-05
47000,11749,3,0.0310595,1e-05
47500,11874,3,0.0007816,1e-05
48000,11999,3,0.0119975,1e-05
48500,12124,3,0.0139185,1e-05
49000,12249,3,0.0069378,1e-05
49500,12374,3,0.0076338,1e-05
50000,12499,3,0.0286034,1e-05
50500,12624,3,0.0013930,1e-05
51000,12749,3,0.0075457,1e-05
51500,12874,3,0.0045401,1e-05
52000,12999,3,0.0022345,1e-05
52500,13124,3,0.0137203,1e-05
53000,13249,3,0.0020617,1e-05
53500,13374,3,0.0009189,1e-05
54000,13499,3,0.0071450,1e-05
54500,13624,3,0.0033101,1e-05
55000,13749,3,0.0241406,1e-05
55500,13874,3,0.0017530,1e-05
56000,13999,3,0.0085774,1e-05
56500,14124,3,0.0531764,1e-05
57000,14249,3,0.0007983,1e-05
57500,14374,3,0.0012297,1e-05
58000,14499,3,0.0050259,1e-05
58500,14624,3,0.0043451,1e-05
59000,14749,3,0.0103665,1e-05
59500,14874,3,0.0033893,1e-05
60000,14999,3,0.0098805,1e-05
60500,15124,3,0.0033230,1e-05
61000,15249,3,0.0010777,1e-05
61500,15374,3,0.0020784,1e-05
62000,15499,3,0.0005568,1e-05
62500,15624,3,0.0042612,1e-05
63000,15749,3,0.0093779,1e-05
63500,15874,3,0.0008504,1e-05
64000,15999,3,0.0064747,1e-05
64500,16124,3,0.0056208,1e-05
65000,16249,3,0.0007777,1e-05
65500,16374,3,0.0061131,1e-05
66000,16499,3,0.0007496,1e-05
66500,16624,3,0.0036943,1e-05
67000,16749,3,0.0031237,1e-05
67500,16874,3,0.0023934,1e-05
68000,16999,3,0.0021301,1e-05
68500,17124,3,0.0008561,1e-05
69000,17249,3,0.0025395,1e-05
69500,17374,3,0.0012001,1e-05
70000,17499,3,0.0090864,1e-05
70500,17624,3,0.0042248,1e-05
71000,17749,3,0.0037885,1e-05
71500,17874,3,0.0023519,1e-05
72000,17999,3,0.0015958,1e-05
72500,18124,3,0.0255316,1e-05
73000,18249,3,0.0047981,1e-05
73500,18374,3,0.0037472,1e-05
74000,18499,3,0.0075294,1e-05
74500,18624,3,0.0033783,1e-05
75000,18749,3,0.0083207,1e-05
75500,18874,3,0.0016305,1e-05
76000,18999,3,0.0008567,1e-05
76500,19124,3,0.0052392,1e-05
77000,19249,3,0.0017222,1e-05
77500,19374,3,0.0462191,1e-05
78000,19499,3,0.0456592,1e-05
78500,19624,3,0.0032717,1e-05
79000,19749,3,0.0016934,1e-05
79500,19874,3,0.0024967,1e-05
80000,19999,3,0.0060728,1e-05
80500,20124,3,0.0022656,1e-05
81000,20249,3,0.0045774,1e-05
81500,20374,3,0.0006904,1e-05
82000,20499,3,0.0027421,1e-05
82500,20624,3,0.0028811,1e-05
83000,20749,3,0.0213387,1e-05
83500,20874,3,0.0064855,1e-05
84000,20999,3,0.0029193,1e-05
84500,21124,3,0.0263498,1e-05
85000,21249,3,0.0024262,1e-05
85500,21374,3,0.0010981,1e-05
86000,21499,3,0.0025590,1e-05
86500,21624,3,0.0005032,1e-05
87000,21749,3,0.0026450,1e-05
87500,21874,3,0.0011901,1e-05
88000,21999,3,0.0021833,1e-05
88500,22124,3,0.0022172,1e-05
89000,22249,3,0.0065546,1e-05
89500,22374,3,0.0080277,1e-05
90000,22499,3,0.0218813,1e-05
90500,22624,3,0.0063633,1e-05
91000,22749,3,0.0021761,1e-05
91500,22874,3,0.0059882,1e-05
92000,22999,3,0.0019995,1e-05
92500,23124,3,0.0005720,1e-05
93000,23249,3,0.0099193,1e-05
93500,23374,3,0.0012064,1e-05
94000,23499,3,0.0024457,1e-05
94500,23624,3,0.2236786,1e-05
95000,23749,3,0.0086085,1e-05
95500,23874,3,0.0106924,1e-05
96000,23999,3,0.0036008,1e-05
96500,24124,3,0.0012479,1e-05
97000,24249,3,0.0010677,1e-05
97500,24374,3,0.0015415,1e-05
98000,24499,3,0.0030345,1e-05
98500,24624,3,0.0020523,1e-05
99000,24749,3,0.0090383,1e-05
99500,24874,3,0.0005264,1e-05
100000,24999,3,0.0011620,1e-05
